name,description,arguments,prompt_content,category,tags
api_documentation,当用户想要生成API文档时，可以使用这个提示词，来帮助用户根据代码生成详细的API文档,"[{""name"":""language"",""description"":""编程语言"",""required"":true},{""name"":""code"",""description"":""要生成文档的API代码"",""required"":true},{""name"":""format"",""description"":""文档格式(markdown/html/jsdoc等)"",""required"":true}]","请根据以下{{language}}代码生成详细的API文档，使用{{format}}格式：

```{{language}}
{{code}}
```

文档应包括：
1. 函数/方法的用途和描述
2. 参数列表及其类型、默认值和说明
3. 返回值类型和说明
4. 可能抛出的异常
5. 使用示例
6. 注意事项或限制

请确保文档清晰、准确且易于理解。
",general,
build_mcp_server,当用户想要创建一个MCP Server或MCP tool时，可以使用这个提示词，来帮助用户创建和配置MCP服务器，包括理解MCP文档、设计服务器资源和功能,[],"# 创建MCP server

Preparing the documentation
Before starting, gather the necessary documentation to help us to understand MCP:

1. Visit https://modelcontextprotocol.io/llms-full.txt and read the full documentation text
2. Navigate to the MCP TypeScript SDK （https://github.com/modelcontextprotocol/typescript-sdk）
3. read the README files and other relevant documentation

Describing your server
Once you've provided the documentation, clearly describe what kind of server you want to build. Be specific about:

- What resources your server will expose
- What tools it will provide
- Any prompts it should offer
- What external systems it needs to interact with

Then start building the MCP server
",general,
build_name,当用户想要为给定内容生成一个有吸引力的名称时，可以使用这个提示词，来帮助用户生成一个有吸引力的名称,"[{""name"":""content"",""description"":null,""required"":true}]","# 角色：起名大师

你是一名精通中国传统文化，精通中国历史，精通中国古典诗词的起名大师。你十分擅长从中国古典诗词字句中汲取灵感生成富有诗意名字。

## 技能:
1. 中国姓名由“姓”和“名”组成，“姓”在“名”前，“姓”和“名”搭配要合理，和谐。
2. 你精通中国传统文化，了解中国人文化偏好，了解历史典故。
3. 精通中国古典诗词，了解包含美好寓意的诗句和词语。
4. 由于你精通上述方面，所以能从上面各个方面综合考虑并汲取灵感起具备良好寓意的中国名字。
5. 你会结合孩子的信息（如性别、出生日期），父母提供的额外信息（比如父母的愿望）来起中国名字。

## 任务:
请为以下内容生成一个有吸引力的名称：
{{content}}

## 输出要求:
1. 你只需生成“名”，“名” 为一个字或者两个字。
2. 名字必须寓意美好，积极向上。
3. 名字富有诗意且独特，念起来朗朗上口。

## Workflow:
1. 首先，你会询问有关孩子的信息，父母对孩子的期望，以及父母提供的其他信息。
2. 然后，你会依据上述信息提供 10 个候选名字，询问是否需要提供更多候选名。
3. 若父母不满意，你可以提供更多候选名字。     
4. 最终，你会提供一个名字，询问是否满意。
5. 若父母满意，则结束。
6. 若父母不满意，则重复步骤 2-5。

## 输出格式:
你只需输出一个名字，不要输出任何其他内容。
",general,
code_refactoring,当用户想要重构代码时，可以使用这个提示词，来帮助用户提高代码质量和可维护性,"[{""name"":""language"",""description"":""编程语言"",""required"":true},{""name"":""code"",""description"":""要重构的代码"",""required"":true},{""name"":""focus_areas"",""description"":""重点关注的重构领域(如性能、可读性、模块化等)"",""required"":false}]","请对以下{{language}}代码进行重构，以提高其质量和可维护性：

```{{language}}
{{code}}
```

{{#focus_areas}}
重点关注以下方面：{{focus_areas}}
{{/focus_areas}}

请提供：
1. 重构后的完整代码
2. 详细说明您所做的每项更改及其理由
3. 重构如何改进了代码的质量和可维护性
",general,
code_review,当用户想要审查代码时，可以使用这个提示词，来帮助用户对代码进行全面审查，提供改进建议,"[{""name"":""language"",""description"":""编程语言"",""required"":true},{""name"":""code"",""description"":""要审查的代码"",""required"":true}]","请对以下{{language}}代码进行全面审查，包括但不限于：
1. 代码质量和可读性
2. 潜在的bug和错误
3. 性能优化机会
4. 安全隐患
5. 最佳实践建议
6. 代码结构和组织

代码：
```{{language}}
{{code}}
```

请提供详细的分析和具体的改进建议。
",general,
gen_3d_celebrity_cards,3D名人卡片展示生成器，创建具有磁吸效果和3D交互的现代名人展示页面,"[{""name"":""celebrities"",""description"":""名人数据，包含姓名、emoji、时期、领域、成就等信息"",""required"":true},{""name"":""theme"",""description"":""主题风格（可选，如科技、艺术、历史等）"",""required"":false}]","# 🎨 3D名人卡片展示 - 完整提示词生成器

## 🌟 视觉设计要求
- **卡片尺寸**：320x520px，圆角25px
- **现代渐变背景**：12种Material Design配色主题
- **深空背景**：动态星空 + 流星效果 + 宇宙渐变
- **毛玻璃效果**：backdrop-filter blur(20px) + 多层阴影
- **3D透视**：perspective 1200px

## ⚡ 双重3D交互系统

### 1. 全局磁吸效果（远距离）
- **感应范围**：200px磁场半径
- **磁力计算**：基于距离的强度衰减算法
- **视觉反馈**：轻微位移 + 缩放 + 亮度调节
- **磁场可视化**：脉冲式光环动画

### 2. 精确3D跟随旋转（悬停时）
- **旋转范围**：±20度实时跟随
- **响应轴向**：X轴和Y轴完美响应鼠标位置
- **平滑过渡**：0.1s ease-out transition
- **悬停增强**：上浮10px + 缩放1.02倍

## 🎭 卡片内容结构
```
卡片容器 (perspective)
└── 卡片主体 (3D transforms)
    ├── 现代渐变背景层 (translateZ: -30px)
    ├── 磁场脉冲效果
    ├── Emoji头像 (translateZ: 50px)
    ├── 装饰图标 (左右角落)
    ├── 名人姓名 (渐变文字)
    ├── 时期标签 (毛玻璃胶囊)
    ├── 成就列表 (4项主要成就)
    ├── 领域标签 (个性化配色)
    └── 鼠标光晕层 (translateZ: 80px)
```

## 🌈 现代配色方案
使用12种精致渐变主题：
- modern-gold, modern-blue, modern-red, modern-purple
- modern-orange, modern-green, modern-cyan, modern-pink  
- modern-indigo, modern-teal, modern-brown, modern-gray

每种配色采用5层渐变过渡，透明度0.08-0.15

## 💫 光效系统
- **扩大鼠标光晕**：80%渐变范围，跟随鼠标移动
- **移除突兀发光**：无头像闪烁动画
- **磁场脉冲**：2秒循环的能量波动
- **混合模式**：overlay叠加效果

## 🎯 交互反馈
- **磁吸点击**：弹性3D旋转动画
- **悬停状态**：zIndex提升 + 亮度增强
- **离开恢复**：智能回到磁吸状态
- **响应式设计**：移动端完美适配

## 📱 技术规格
- **现代浏览器兼容**：CSS3 + ES6
- **性能优化**：硬件加速 + 防抖处理
- **加载动画**：渐进式卡片出现效果
- **网格布局**：auto-fit响应式排列

## 🚀 名人数据结构
每位名人包含：
```javascript
{
    name: ""姓名"",
    emoji: ""代表符号"", 
    period: ""时期 (年份)"",
    field: ""领域标签"",
    fieldColor: ""个性化颜色"",
    bgClass: ""渐变主题类"",
    icons: [""图标1"", ""图标2""],
    achievements: [""成就1"", ""成就2"", ""成就3"", ""成就4""]
}
```

## ✨ 最终效果
- **远距离**：磁力吸引，卡片轻柔响应
- **近距离**：精确3D跟随旋转
- **悬停时**：扩大光晕 + 立体倾斜
- **点击时**：磁吸式弹性反馈
- **整体感**：科幻感十足的未来UI体验

## 用户输入的名人数据
{{celebrities}}

{{#if theme}}
## 主题风格要求
{{theme}}
{{/if}}

## 输出要求

请根据以上要求，创建一个包含指定名人的3D交互式卡片展示页面。输出内容应包括：

### 1. 设计分析
- 根据名人特点选择最适合的配色方案
- 分析名人成就，设计合适的图标和装饰元素
- 确定整体视觉风格和交互体验

### 2. 完整HTML源码
```html
<!DOCTYPE html>
<html lang=""zh-CN"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>3D名人卡片展示</title>
    <style>
        /* 完整的CSS样式，包含所有3D效果和交互 */
    </style>
</head>
<body>
    <!-- 完整的HTML结构 -->
</body>
<script>
    /* 完整的JavaScript交互逻辑 */
</script>
</html>
```

### 3. 技术要点说明
- 磁吸效果实现原理
- 3D变换和透视设置
- 性能优化策略
- 响应式适配方案

### 4. 使用说明
- 如何自定义名人数据
- 如何调整视觉效果
- 如何添加新的交互功能

请确保生成的代码具有以下特点：
- 完整的3D磁吸交互效果
- 现代化的视觉设计
- 流畅的动画过渡
- 响应式布局适配
- 优秀的性能表现
- 清晰的代码结构

这是一个集艺术美感与技术创新于一体的3D交互式名人展示系统！🎨⚡✨ 
",general,
gen_3d_edu_webpage_html,基于Three.js等技术，为任意教育主题生成沉浸式3D游戏化学习网页，融合教育内容、交互动画和游戏机制，适合寓教于乐的学习体验。,[],"# 角色：3D教育游戏开发专家

你是一名专精于Three.js的教育游戏开发专家，擅长将学习内容转化为引人入胜的交互式3D游戏体验。请为我提供的任何教育主题创建一个游戏化学习HTML应用，融合教育内容与沉浸式3D游戏元素，优先保证代码复杂度可控可运行前提下生成。

## 游戏化学习核心要素

构建以下游戏化元素激发学习动机：
- 清晰的学习目标转化为游戏任务和挑战
- 进度系统（经验值、关卡或成就徽章）
- 即时反馈机制（视觉和音效提示）
- 基于探索的学习路径
- 互动式问答或挑战，测试知识掌握程度
- 故事情境包装学习内容，提升参与感

## 技术实现框架

使用以下技术栈构建教育游戏体验：
- Three.js (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/three.js/110/three.min.js)
- 内嵌自定义控件代码，避免外部依赖问题
- Tailwind CSS (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/tailwindcss/2.2.19/tailwind.min.css)
- Font Awesome (https://lf6-cdn-tos.bytecdntp.com/cdn/expire-100-M/font-awesome/6.0.0/css/all.min.css)
- 中文排版使用 Noto Serif SC 和 Noto Sans SC
- GSAP动画库 (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/gsap/3.9.1/gsap.min.js)
- 可选：简化版物理引擎实现互动效果

## 3D游戏场景设计

根据教育主题，设计一个完整的Three.js游戏场景：
- 将学习概念转化为可视化3D元素和互动对象
- 创建主题相关的游戏环境（如历史场景、科学实验室、数学空间等）
- 设计角色或代理引导学习者完成任务
- 添加可交互的3D对象，点击后展示相关知识点
- 使用动画和转场效果强化概念理解
- 通过粒子效果、光照和材质增强视觉吸引力

## 直观交互设计原则

采用苹果式设计理念，创造自然直观的交互体验：
- 放大交互热区：确保可点击区域足够大（至少50x50像素），超出视觉边界
- 视觉暗示：使用微妙动画、光效或颜色变化引导用户注意下一步操作
- 自动化流程：完成一个步骤后自动引导至下一步，减少不必要的手动确认
- 预测性设计：预测用户意图，在用户需要前提供选项
- 触觉反馈：通过动画、颜色变化或微妙的音效提供即时反馈
- 宽容错误：设计防止错误的界面，即使出错也能优雅恢复

## 创意游戏机制

实现以下创新游戏机制提升学习趣味性：
- 知识收集器：设计虚拟工具收集散落在环境中的知识碎片
- 环境互动：允许改变环境状态（如日夜切换、季节变化）揭示不同知识点
- 解谜元素：设计与学习内容相关的谜题，解开后获得关键信息
- 进度叙事：随着学习进展，环境发生变化讲述相关故事
- 技能树：解锁新能力后可以访问先前无法到达的区域
- 成就系统：完成特定挑战解锁成就徽章和视觉奖励，给用户大大惊喜，制造aha-moment
- 游戏性：参考经典游戏设计，比如塞尔达传说等；满足随机奖励原则。
- 彩蛋机制：隐藏额外知识点，鼓励探索和实验

## 自动化学习路径

设计智能引导系统确保学习流畅进行：
- 完成当前任务后自动引导至下一个学习点（通过相机移动、光效或动画）
- 提供明确的视觉指引（如光束、路径或指示箭头）指向下一个目标
- 实现智能提示系统，根据用户行为提供上下文相关的帮助
- 设置适当的触发区域大小，确保交互轻松无误
- 在用户停滞时提供渐进式提示，从微妙暗示到明确指导
- 保留手动控制选项，允许高级用户自定义学习路径

## 界面控制与用户自主性

确保用户对学习体验有完全控制权：
- 为所有模态窗口和界面元素提供明确的关闭/返回按钮（尺寸足够大）
- 允许用户随时暂停、保存和恢复学习进度
- 提供跳过或加速某些内容的选项
- 设计直观的导航系统，便于在不同学习模块间切换
- 确保所有交互元素有清晰的视觉状态反馈
- 支持自定义学习路径，尊重不同学习风格

## 教育内容整合

确保游戏体验与教育目标紧密结合：
- 将复杂概念分解为可游戏化的小单元
- 设计循序渐进的学习路径，由简到难
- 通过故事情境或问题场景包装教学内容
- 提供多种学习方式（视觉、听觉、互动）满足不同学习风格
- 在游戏过程中嵌入自我评估机会
- 确保游戏机制服务于学习目标，而非分散注意力

## 技术优化与性能

确保流畅的游戏化学习体验：
- 资源预加载和进度指示
- 3D模型和纹理优化，确保快速加载
- 针对移动设备的性能自适应
- 保存学习进度到本地存储
- 优雅降级：在低性能设备上提供简化版体验
- 错误处理机制，确保学习不中断

## 输出成果

提供包含以下内容的完整教育游戏解决方案：
1. 单一HTML文件，包含所有必要CSS和JavaScript（避免外部依赖）
2. 只输出HTML，不要其他任何引导语和介绍。
3. 确保游戏化学习体验能在现代浏览器中流畅运行

无论我提供什么教育主题，都请发挥你的创意想象力和技术专长，创造一个寓教于乐的3D游戏化学习体验，让学习过程变得有趣且高效。游戏元素应服务于教育目标，而非仅作装饰。设计应遵循苹果式的直观简洁理念，让用户无需思考即可自然完成学习流程，同时保持足够的创意和趣味性。

待处理主题或内容：
",general,
gen_3d_webpage_html,基于Three.js、GSAP等技术，为任意主题生成沉浸式3D网页单页，融合高级视觉设计、交互动画和最佳UI实践，适合内容展示、可视化和创意体验。,[],"# 角色：3D网页创意技术总监

你是一名专精于Three.js的创意技术总监和可视化专家，擅长将复杂信息转化为引人入胜的交互式3D体验。请为我提供的任何主题或内容创建一个令人惊艳的单页面HTML展示，融合高级视觉设计和沉浸式3D效果。

## 关键技术要素

使用以下技术栈构建沉浸式体验：
- Three.js (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/three.js/110/three.min.js)
- 内嵌自定义控件代码，避免外部依赖问题
- Tailwind CSS (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/tailwindcss/2.2.19/tailwind.min.css)
- Font Awesome (https://lf6-cdn-tos.bytecdntp.com/cdn/expire-100-M/font-awesome/6.0.0/css/all.min.css)
- 中文排版使用 Noto Serif SC 和 Noto Sans SC
- GSAP动画库 (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/gsap/3.9.1/gsap.min.js)

## 3D场景设计

根据内容主题，设计一个完整的Three.js场景，可能包括：
- 适合主题的3D几何体、模型或粒子系统
- 动态相机和光照设置
- 基于滚动或用户交互的动画效果
- 在3D环境与2D内容之间建立有意义的联系
- 环境氛围(雾效、阴影、反射等)增强视觉深度

## UI与内容布局最佳实践

遵循以下布局原则，确保3D内容成为焦点：
- 3D场景应占据主要视觉空间，内容不应遮挡3D体验
- 使用可折叠侧边栏或模态框展示详细文字内容
- 鼠标放到侧边栏，自动展开，移开后缩回去。
- 为3D元素添加标签系统，允许用户了解各部分功能和意义
- 使用半透明UI元素，在提供信息的同时不阻断3D场景的可见性

## 交互提示系统

设计直观的交互引导体验：
- 添加简洁的初始操作提示，几秒后自动降低透明度
- 在用户执行操作时提供即时反馈，更新提示内容
- 为关键3D元素添加标签或高亮效果，帮助用户理解场景
- 设计清晰的控制按钮，具有明确的视觉状态变化
- 在复杂操作前提供简短教程或演示
- 3D模型自动循环，但速度要慢。

## 设计原则

遵循以下设计原则创建引人入胜的体验：
- 整合而非装饰：3D元素应直接服务于内容表达，而非仅作装饰
- 性能优先：确保复杂视觉效果不影响页面加载和运行速度
- 沉浸式叙事：利用3D效果构建内容的视觉叙事层次
- 交互深度：添加多层次交互，让用户通过探索发现内容
- 响应式适配：确保在所有设备上提供最佳体验，智能降级复杂效果

## 额外加分

可选择以下一种或多种创意方向拓展体验：
- 物理引擎模拟：使用cannon.js等物理引擎创建具有真实感的交互

## 输出成果

提供包含以下内容的完整解决方案：
1. 单一HTML文件，包含所有必要CSS和JavaScript（避免外部依赖）
2. 只输出HTML，不要其他任何引导语和介绍。

无论我提供什么主题，都请发挥你的创意想象力和技术专长，创造一个超越传统网页的沉浸式体验，确保3D内容成为核心焦点，而辅助信息以不干扰的方式呈现。

待处理主题：
",general,
gen_avatar_series,生成可爱的动漫头像系列，包括小女孩和大叔两种风格,"[{""name"":""character_type"",""description"":""角色类型（小女孩/大叔）"",""required"":true},{""name"":""custom_description"",""description"":""自定义描述（可选）"",""required"":false}]","请生成一个可爱的动漫头像。

{{#if character_type}}
角色类型：{{character_type}}
{{/if}}

{{#if custom_description}}
自定义描述：{{custom_description}}
{{/if}}

## 预设角色描述

### 小女孩风格：
一个可爱的动漫小女孩。黑色眼睛，戴圆框眼镜，耳朵上挂着黄色圆片耳环，手放在脸上，身穿蓝衣，白色背景，画面风格清新。

### 大叔风格：
一个可爱动漫胖大叔，戴着帽子、眼镜，穿着花衬衫和短裤。他的肚子很大，看起来像是在努力地挺着肚子。

## 生成要求

请根据指定的角色类型生成相应的头像，确保：
1. 画面风格统一，保持动漫可爱风格
2. 细节丰富，符合角色特征描述
3. 色彩搭配和谐，背景简洁
4. 表情生动，富有感染力
5. 整体构图平衡，适合作为头像使用

如果提供了自定义描述，请优先使用自定义描述进行生成。
",general,
gen_bento_grid_html,根据用户选择的设计风格和内容，生成视觉冲击力强、适合截图分享的Bento Grid单页网站，内嵌CSS和JS，优化视觉和分享体验。,[],"# 角色：极具审美的前端设计大师

你是极具审美的前端设计大师，请为我生成一个基于 Bento Grid 设计风格的单页HTML网站，内嵌CSS、JS。这个页面将被截图分享，需要特别优化视觉效果和分享体验。

## 设计风格选项
你可以选择以下风格编号或名称：
- 极简主义风格 (Minimalist)：简约、留白、精确排版、无衬线字体、克制装饰
- 大胆现代风格 (Bold Modern)：鲜艳对比色、不对称动态排版、极大标题、几何元素
- 优雅复古风格 (Elegant Vintage)：米色背景、衬线字体、对称排版、精致装饰元素
- 未来科技风格 (Futuristic Tech)：深色背景、霓虹色、科技界面、数据可视化元素
- 斯堪的纳维亚风格 (Scandinavian)：纯白背景、北欧色调、克制排版、简单几何图案
- 艺术装饰风格 (Art Deco)：黑金配色、对称排版、装饰性字体、几何图案、奢华感
- 日式极简风格 (Japanese Minimalism)：极度留白、克制色彩、非对称排版、禅意美学
- 后现代解构风格 (Postmodern Deconstruction)：打破规则、混合字体、不和谐色彩
- 朋克风格 (Punk)：DIY效果、高对比色彩、不规则排版、手写字体、粗糙质感
- 英伦摇滚风格 (British Rock)：英国元素、红白蓝色系、混合经典与现代字体
- 黑金属风格 (Black Metal)：纯黑背景、哥特字体、神秘符号、高对比单色图像
- 孟菲斯风格 (Memphis Design)：鲜艳不协调色彩、几何形状、活泼排版、80年代感
- 赛博朋克风格 (Cyberpunk)：深色背景、霓虹色彩、故障效果、科技界面元素
- 波普艺术风格 (Pop Art)：亮丽原色、漫画风格、半调网点效果、流行文化元素
- 瑞士国际主义风格的解构版 (Deconstructed Swiss Style)：基于网格的破坏重组
- 蒸汽波美学 (Vaporwave Aesthetics)：粉紫青蓝渐变、80-90年代元素、复古电脑界面
- 新表现主义风格 (Neo-Expressionism)：强烈色彩、不规则排版、粗犷线条、手工感
- 极简主义的极端版本 (Extreme Minimalism)：极度留白、黑白灰、精确排版、零装饰
- 新未来主义 (Neo-Futurism)：流线型曲线、金属色调、高科技材质、动态排版
- 超现实主义数字拼贴 (Surrealist Digital Collage)：意外元素组合、比例失调、梦幻色彩
- 新巴洛克数字风格 (Neo-Baroque Digital)：华丽装饰、金色深色系、戏剧性光影效果
- 液态数字形态主义 (Liquid Digital Morphism)：流体渐变、液态效果、梦幻色彩
- 超感官极简主义 (Hypersensory Minimalism)：微妙纹理、精确排版、细微色彩变化
- 新表现主义数据可视化 (Neo-Expressionist Data Visualization)：数据驱动的抽象艺术
- 维多利亚风格 (Victorian Style)：华丽印刷美学、繁复装饰边框、传统排版
- 包豪斯风格 (Bauhaus)：基本几何形状、原色、无衬线字体、功能主义美学
- 构成主义风格 (Constructivism)：几何形状、红黑配色、动态排版、革命美学
- 简约功能型风格 (Minimal Functional)：清晰卡片式布局、柔和色彩点缀、直观图标系统、精简文本展示、充足留白空间
- 德国表现主义风格 (German Expressionism)：强烈明暗对比、扭曲形态、情感表达

如果我没有指定风格，请默认使用大胆现代的 Bento Grid 风格设计。

## 布局要求
- 使用不规则的网格布局，确保整个视口区域被充分利用，无明显大块空白
- 设计一个主要的大卡片展示核心概念/引言（占据约25-30%的视觉区域）
- 其余卡片应包含不同的子主题，每个卡片有独特的标题和简短描述，标题简短，避免换行。
- 卡片大小应根据内容重要性进行变化，形成视觉层次感
- 卡片之间的间距应保持一致（建议12-20px），创造整洁有序的视觉效果
- 为卡片添加相关Fontawesome图标，出现在卡片背景中，非常巧妙的装饰。
- 在右下角卡片放置品牌标识和二维码
- 确保整体设计在1000px宽的视口中完整显示，无需滚动
- 确保网格布局没有明显的""空洞""，所有区域都应有内容填充

## 内容分布建议
- 主卡片：核心概念介绍（20-25%区域）
- 4-6个中型卡片：重要子主题
- 1个二维码卡片：位于右下角

## 内容展示
- 标题使用大号字体，根据所选风格选择适合的字体，言简意赅，避免换行。
- 正文使用易读字体，确保在所选背景上清晰可读
- **在主大卡片展示核心理念，配色和布局大胆有冲击力，又有杂志版的精致感。**
- 每个卡片应聚焦于单一概念，文字简洁有力，主标题加粗
- 使用简短的要点而非长段落，便于快速阅读，如无必要，不加句子描述
- 确保每个卡片内容量适中，避免过于空洞或过度拥挤
- 除专业名词如Few-shot、NBA等，其他输出内容要求中文

## 视觉平衡
- 确保色彩分布均匀，避免某一区域颜色过于集中，避免超过4种以上色系
- 图标和视觉元素应均匀分布在整个布局中
- 文本密度应相对均衡，避免某些卡片文字过多而其他过少
- 使用视觉权重（大小、颜色、对比度）引导用户视线流动
- 卡片形状可以变化（正方形、长方形等），但整体应保持视觉一致性

## 技术要求
- 单个HTML文件，内嵌CSS
- 使用CSS Grid实现不规则网格布局
- 确保代码简洁，注释清晰
- 优化页面以确保在单视口中完整显示，适合截图。实在放不下，往下方延展。
- 使用grid-template-areas属性精确定义布局，确保无空隙

## 内嵌资源
- Tailwind CSS (https://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/tailwindcss/2.2.19/tailwind.min.css)
- Font Awesome (https://lf6-cdn-tos.bytecdntp.com/cdn/expire-100-M/font-awesome/6.0.0/css/all.min.css)
- 中文排版使用 Noto Serif SC 和 Noto Sans SC
- 根据所选风格添加适合的Google Fonts字体

## 二维码资源
- 使用以下URL作为二维码图片地址: https://img.t5t6.com/1746665263357-2768e6e0-83e1-475c-85ec-d20b52498bbe.jpg
- 确保二维码尺寸足够大（至少120px），清晰可扫描，一定放一个正方形卡片显示，**不加**Fontawesome图标。
- 在二维码周围添加简短引导文字：""一起AI实战""

## 其他要求
1. 不要使用任何侧边装饰线或边框强调线
2. 卡片边框应该是完整的或完全没有，避免单侧边框装饰
3. 视觉分隔应通过卡片背景色、间距或阴影实现，而非边框线条
4. 如需强调，请使用背景色、字体粗细或图标，而非装饰线条
5. 强烈推荐把Fontawesome图标作为背景装饰图案
6. 文字和背景对比一定要清晰，可读性高
7. 注意：不要让设计风格影响内容生成和意思传递。

请根据我提供的主题内容和选择的风格，生成一个视觉上引人入胜、布局紧凑无空隙、配色和谐统一、适合截图分享的单页网站。

## 待处理内容：
- 风格：{{style}}
- 内容：{{content}} 
",general,
gen_business_card_photo,生成一只手（主要是拇指和食指）正捏着一张名片的 2:3 照片，名片设计成深色背景的计算机程序代码编辑器窗口界面,"[{""name"":""name"",""description"":""姓名"",""required"":true},{""name"":""title"",""description"":""职位/头衔"",""required"":true},{""name"":""email"",""description"":""邮箱地址"",""required"":true},{""name"":""link"",""description"":""个人网站或链接"",""required"":true}]","帮我生成一只手（主要是拇指和食指）正捏着一张名片的 2:3 照片。

名片设计：这张卡片并非传统名片样式，而是设计成了一个深色背景的计算机程序代码编辑器的窗口界面。

窗口元素：
- 顶部：左上角有三个模拟窗口控制按钮（红、黄、绿），中间是窗口标题 `Business Card.json`。
- 工具栏：标题栏下方有一排小的图标，模拟编辑器工具栏。
- 代码区域：卡片的主要部分显示了带有行号（1-5可见）的代码。

代码区域的代码为：

{
""name"": ""{{name}}"",
""title"": ""{{title}}"",
""email"": ""{{email}}"",
""link"": ""{{link}}""
}

背景：背景是模糊的，看起来像一个木质的桌面或表面。

整体风格：这张名片设计非常有创意和极客（geek）风格，暗示了名片主人可能从事 IT、软件开发或网络安全相关的工作。它用一种程序员熟悉的方式来展示个人联系信息。

请生成这张照片，确保：
1. 照片比例为 2:3
2. 手部细节清晰，特别是拇指和食指捏住名片的动作
3. 名片上的代码编辑器界面设计逼真
4. 代码内容准确显示提供的个人信息
5. 整体风格符合极客/程序员主题
",general,
